% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2025  1 16  3  8  0 2.86 6.515 11.361 0.917
2025  1 16  3 13  0 2.86 6.457 11.369 0.916
2025  1 16  3 18  0 2.85 6.389 11.397 0.916
2025  1 16  3 23  0 2.85 6.350 11.400 0.916
2025  1 16  3 28  0 2.85 6.320 11.411 0.916
2025  1 16  3 33  0 2.85 6.272 11.421 0.916
2025  1 16  3 38  0 2.85 6.223 11.436 0.916
2025  1 16  3 43  0 2.85 6.194 11.428 0.916
2025  1 16  3 48  0 2.85 6.203 11.416 0.916
2025  1 16  3 53  0 2.86 6.155 11.437 0.916
2025  1 16  3 58  0 2.86 6.115 11.453 0.916
2025  1 16  4  3  0 2.86 6.115 11.455 0.916
2025  1 16  4  8  0 2.86 6.076 11.473 0.917
2025  1 16  4 13  0 2.86 6.027 11.473 0.916
2025  1 16  4 18  0 2.86 5.988 11.495 0.916
2025  1 16  4 23  0 2.86 5.959 11.508 0.917
2025  1 16  4 28  0 2.86 5.939 11.507 0.916
2025  1 16  4 33  0 2.86 5.900 11.518 0.916
2025  1 16  4 38  0 2.86 5.880 11.514 0.916
2025  1 16  4 43  0 2.86 5.890 11.518 0.916
2025  1 16  4 48  0 2.86 5.880 11.516 0.916
2025  1 16  4 53  0 2.86 5.870 11.522 0.916
2025  1 16  4 58  0 2.86 5.851 11.533 0.916
2025  1 16  5  3  0 2.86 5.841 11.529 0.916
2025  1 16  5  8  0 2.86 5.831 11.523 0.916
2025  1 16  5 13  0 2.86 5.831 11.528 0.916
2025  1 16  5 18  0 2.86 5.841 11.538 0.917
2025  1 16  5 23  0 2.86 5.811 11.534 0.916
2025  1 16  5 28  0 2.86 5.802 11.543 0.916
2025  1 16  5 33  0 2.86 5.772 11.555 0.916
2025  1 16  5 38  0 2.86 5.782 11.540 0.916
2025  1 16  5 43  0 2.86 5.782 11.542 0.916
2025  1 16  5 48  0 2.86 5.743 11.569 0.916
2025  1 16  5 53  0 2.86 5.743 11.565 0.916
2025  1 16  5 58  0 2.86 5.723 11.574 0.916
2025  1 16  6  3  0 2.86 5.733 11.571 0.916
2025  1 16  6  8  0 2.86 5.723 11.570 0.916
2025  1 16  6 13  0 2.86 5.703 11.573 0.916
2025  1 16  6 18  0 2.86 5.723 11.578 0.916
2025  1 16  6 23  0 2.86 5.723 11.569 0.916
2025  1 16  6 28  0 2.86 5.693 11.575 0.916
2025  1 16  6 33  0 2.86 5.683 11.573 0.916
2025  1 16  6 38  0 2.86 5.674 11.582 0.916
2025  1 16  6 43  0 2.86 5.644 11.575 0.916
2025  1 16  6 48  0 2.86 5.634 11.577 0.916
2025  1 16  6 53  0 2.86 5.595 11.594 0.916
2025  1 16  6 58  0 2.86 5.595 11.594 0.916
2025  1 16  7  3  0 2.86 5.545 11.605 0.916
2025  1 16  7  8  0 2.86 5.535 11.614 0.916
2025  1 16  7 13  0 2.86 5.476 11.634 0.916
2025  1 16  7 18  0 2.86 5.476 11.626 0.916
2025  1 16  7 23  0 2.86 5.466 11.622 0.916
2025  1 16  7 28  0 2.86 5.436 11.645 0.916
2025  1 16  7 33  0 2.86 5.426 11.631 0.916
2025  1 16  7 38  0 2.86 5.387 11.658 0.916
2025  1 16  7 43  0 2.86 5.417 11.638 0.916
2025  1 16  7 48  0 2.86 5.397 11.643 0.916
2025  1 16  7 53  0 2.86 5.377 11.646 0.916
2025  1 16  7 58  0 2.86 5.367 11.654 0.916
2025  1 16  8  3  0 2.86 5.367 11.654 0.916
2025  1 16  8  8  0 2.86 5.387 11.641 0.916
2025  1 16  8 13  0 2.86 5.367 11.654 0.916
2025  1 16  8 18  0 2.86 5.387 11.642 0.916
2025  1 16  8 23  0 2.86 5.377 11.642 0.916
2025  1 16  8 28  0 2.86 5.357 11.654 0.916
2025  1 16  8 33  0 2.86 5.367 11.652 0.916
2025  1 16  8 38  0 2.86 5.387 11.637 0.916
2025  1 16  8 43  0 2.86 5.377 11.651 0.916
2025  1 16  8 48  0 2.86 5.387 11.643 0.916
2025  1 16  8 53  0 2.86 5.357 11.661 0.916
2025  1 16  8 58  0 2.86 5.357 11.653 0.916
2025  1 16  9  3  0 2.86 5.387 11.645 0.916
2025  1 16  9  8  0 2.86 5.407 11.633 0.916
2025  1 16  9 13  0 2.86 5.397 11.649 0.916
2025  1 16  9 18  0 2.86 5.426 11.639 0.916
2025  1 16  9 23  0 2.86 5.426 11.630 0.915
2025  1 16  9 28  0 2.86 5.436 11.631 0.916
2025  1 16  9 33  0 2.86 5.446 11.628 0.916
2025  1 16  9 38  0 2.86 5.456 11.629 0.916
2025  1 16  9 43  0 2.86 5.466 11.631 0.916
2025  1 16  9 48  0 2.86 5.456 11.638 0.916
2025  1 16  9 53  0 2.86 5.506 11.618 0.916
2025  1 16  9 58  0 2.86 5.496 11.621 0.916
2025  1 16 10  3  0 2.86 5.486 11.632 0.916
2025  1 16 10  8  0 2.86 5.506 11.624 0.916
2025  1 16 10 13  0 2.86 5.545 11.605 0.916
2025  1 16 10 18  0 2.86 5.535 11.627 0.916
2025  1 16 10 23  0 2.86 5.535 11.621 0.916
2025  1 16 10 28  0 2.86 5.555 11.626 0.916
2025  1 16 10 33  0 2.86 5.565 11.609 0.916
2025  1 16 10 38  0 2.86 5.614 11.587 0.916
2025  1 16 10 43  0 2.86 5.614 11.602 0.916
2025  1 16 10 48  0 2.86 5.644 11.589 0.916
2025  1 16 10 53  0 2.86 5.634 11.595 0.916
2025  1 16 10 58  0 2.86 5.674 11.567 0.915
2025  1 16 11  3  0 2.86 5.703 11.566 0.916
2025  1 16 11  8  0 2.86 5.703 11.578 0.916
2025  1 16 11 13  0 2.86 5.752 11.558 0.916
2025  1 16 11 18  0 2.86 5.772 11.553 0.916
2025  1 16 11 23  0 2.86 5.811 11.544 0.916
2025  1 16 11 28  0 2.86 5.851 11.520 0.916
2025  1 16 11 33  0 2.86 5.900 11.519 0.916
2025  1 16 11 38  0 2.86 5.949 11.498 0.915
2025  1 16 11 43  0 2.86 6.018 11.486 0.916
2025  1 16 11 48  0 2.86 6.037 11.497 0.916
2025  1 16 11 53  0 2.85 6.125 11.457 0.916
2025  1 16 11 58  0 2.85 6.174 11.442 0.916
2025  1 16 12  3  0 2.85 6.242 11.417 0.916
2025  1 16 12  8  0 2.85 6.281 11.410 0.916
2025  1 16 12 13  0 2.85 6.369 11.377 0.916
2025  1 16 12 18  0 2.85 6.428 11.367 0.916
2025  1 16 12 23  0 2.86 6.496 11.341 0.916
2025  1 16 12 28  0 2.86 6.583 11.318 0.916
2025  1 16 12 33  0 2.86 6.670 11.294 0.916
2025  1 16 12 38  0 2.86 6.776 11.270 0.916
2025  1 16 12 43  0 2.86 6.883 11.226 0.915
2025  1 16 12 48  0 2.86 6.960 11.218 0.916
2025  1 16 12 53  0 2.86 7.056 11.196 0.916
2025  1 16 12 58  0 2.86 7.133 11.182 0.916
2025  1 16 13  3  0 2.85 7.229 11.150 0.916
2025  1 16 13  8  0 2.85 7.267 11.153 0.916
2025  1 16 13 13  0 2.85 7.344 11.140 0.916
2025  1 16 13 18  0 2.85 7.382 11.122 0.916
2025  1 16 13 23  0 2.85 7.439 11.112 0.916
2025  1 16 13 28  0 2.85 7.477 11.103 0.916
2025  1 16 13 33  0 2.85 7.525 11.082 0.915
2025  1 16 13 38  0 2.85 7.554 11.069 0.915
2025  1 16 13 43  0 2.85 7.592 11.063 0.916
2025  1 16 13 48  0 2.85 7.649 11.048 0.916
2025  1 16 13 53  0 2.85 7.677 11.044 0.916
2025  1 16 13 58  0 2.86 7.734 11.030 0.916
2025  1 16 14  3  0 2.86 7.801 11.000 0.916
2025  1 16 14  8  0 2.86 7.858 10.976 0.915
2025  1 16 14 13  0 2.86 7.934 10.957 0.915
2025  1 16 14 18  0 2.86 8.028 10.931 0.915
2025  1 16 14 23  0 2.86 8.094 10.916 0.916
2025  1 16 14 28  0 2.86 8.170 10.889 0.915
2025  1 16 14 33  0 2.85 8.283 10.870 0.916
2025  1 16 14 38  0 2.85 8.358 10.849 0.916
2025  1 16 14 43  0 2.85 8.443 10.821 0.915
2025  1 16 14 48  0 2.85 8.499 10.808 0.915
2025  1 16 14 53  0 2.85 8.565 10.786 0.915
2025  1 16 14 58  0 2.85 8.630 10.772 0.915
2025  1 16 15  3  0 2.85 8.705 10.756 0.915
2025  1 16 15  8  0 2.85 8.752 10.754 0.916
2025  1 16 15 13  0 2.85 8.836 10.717 0.915
2025  1 16 15 18  0 2.85 8.901 10.700 0.915
2025  1 16 15 23  0 2.86 8.957 10.685 0.915
2025  1 16 15 28  0 2.86 9.040 10.661 0.915
