% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2024  1 25 17 11  0 3.12 7.540 10.131 0.997
2024  1 25 17 21  0 3.12 7.521 10.177 0.998
2024  1 25 17 31  0 3.12 7.550 10.159 0.997
2024  1 25 17 41  0 3.12 7.569 10.163 0.997
2024  1 25 17 51  0 3.12 7.569 10.172 0.997
2024  1 25 18  1  0 3.12 7.559 10.158 0.997
2024  1 25 18 11  0 3.12 7.559 10.160 0.997
2024  1 25 18 21  0 3.12 7.540 10.120 0.997
2024  1 25 18 31  0 3.12 7.559 10.141 0.997
2024  1 25 18 41  0 3.12 7.540 10.172 0.997
2024  1 25 18 51  0 3.12 7.550 10.165 0.997
2024  1 25 19  1  0 3.12 7.445 10.094 0.997
2024  1 25 19 11  0 3.12 7.454 10.041 0.996
2024  1 25 19 21  0 3.12 7.502 10.122 0.997
2024  1 25 19 31  0 3.12 7.454 10.102 0.997
2024  1 25 19 41  0 3.12 7.483 10.097 0.997
2024  1 25 19 51  0 3.12 7.483 10.121 0.997
2024  1 25 20  1  0 3.12 7.531 10.103 0.997
2024  1 25 20 11  0 3.12 7.531 10.114 0.997
2024  1 25 20 21  0 3.12 7.540 10.123 0.997
2024  1 25 20 31  0 3.12 7.521 10.155 0.997
2024  1 25 20 41  0 3.12 7.540 10.113 0.997
2024  1 25 20 51  0 3.12 7.540 10.127 0.997
2024  1 25 21  1  0 3.12 7.550 10.123 0.997
2024  1 25 21 11  0 3.13 7.559 10.141 0.997
2024  1 25 21 21  0 3.12 7.598 10.109 0.997
2024  1 25 21 31  0 3.12 7.607 10.098 0.997
2024  1 25 21 41  0 3.12 7.598 10.126 0.997
2024  1 25 21 51  0 3.12 7.569 10.143 0.997
2024  1 25 22  1  0 3.12 7.569 10.134 0.997
2024  1 25 22 11  0 3.12 7.598 10.103 0.997
2024  1 25 22 21  0 3.12 7.521 10.163 0.997
2024  1 25 22 31  0 3.12 7.617 10.184 0.997
2024  1 25 22 41  0 3.12 7.607 10.170 0.997
2024  1 25 22 51  0 3.12 7.445 10.030 0.997
2024  1 25 23  1  0 3.12 7.397 10.051 0.997
2024  1 25 23 11  0 3.12 7.378 10.043 0.997
2024  1 25 23 21  0 3.13 7.292 10.010 0.997
2024  1 25 23 31  0 3.12 7.407 10.085 0.996
2024  1 25 23 41  0 3.12 7.483 10.104 0.997
2024  1 25 23 51  0 3.12 7.474 10.085 0.997
2024  1 26  0  1  0 3.12 7.483 10.107 0.997
2024  1 26  0 11  0 3.12 7.521 10.082 0.997
2024  1 26  0 21  0 3.12 7.521 10.100 0.997
2024  1 26  0 31  0 3.12 7.531 10.104 0.997
2024  1 26  0 41  0 3.13 7.750 10.231 0.997
2024  1 26  0 51  0 3.12 7.617 10.016 0.997
2024  1 26  1  1  0 3.12 7.340 10.078 0.997
2024  1 26  1 11  0 3.12 7.559 10.085 0.997
2024  1 26  1 21  0 3.12 7.349 10.021 0.997
2024  1 26  1 31  0 3.12 7.426 10.085 0.997
2024  1 26  1 41  0 3.12 7.426 9.997 0.997
2024  1 26  1 51  0 3.12 7.426 10.031 0.997
2024  1 26  2  1  0 3.13 7.081 9.875 0.997
2024  1 26  2 11  0 3.13 7.032 9.898 0.997
2024  1 26  2 21  0 3.12 7.301 10.081 0.997
2024  1 26  2 31  0 3.13 7.177 9.946 0.997
2024  1 26  2 41  0 3.12 7.349 10.113 0.997
2024  1 26  2 51  0 3.12 7.445 10.086 0.997
2024  1 26  3  1  0 3.12 7.340 9.987 0.997
2024  1 26  3 11  0 3.13 7.196 9.937 0.997
2024  1 26  3 21  0 3.13 7.090 9.918 0.997
2024  1 26  3 31  0 3.13 7.052 9.950 0.997
2024  1 26  3 41  0 3.13 7.090 9.946 0.997
2024  1 26  3 51  0 3.13 6.965 9.949 0.997
2024  1 26  4  1  0 3.13 7.004 9.928 0.997
2024  1 26  4 11  0 3.13 6.994 9.944 0.997
2024  1 26  4 21  0 3.13 7.013 9.932 0.997
2024  1 26  4 31  0 3.13 7.109 10.032 0.997
2024  1 26  4 41  0 3.13 7.177 9.981 0.997
2024  1 26  4 51  0 3.13 7.138 9.977 0.997
2024  1 26  5  1  0 3.13 7.148 9.979 0.997
2024  1 26  5 11  0 3.13 7.186 10.002 0.997
2024  1 26  5 21  0 3.13 7.167 9.965 0.996
2024  1 26  5 31  0 3.13 7.119 9.954 0.997
2024  1 26  5 41  0 3.13 7.177 9.964 0.997
2024  1 26  5 51  0 3.13 7.148 10.034 0.998
2024  1 26  6  1  0 3.12 7.321 10.080 0.997
2024  1 26  6 11  0 3.12 7.388 10.099 0.997
2024  1 26  6 21  0 3.12 7.359 10.037 0.997
2024  1 26  6 31  0 3.12 7.407 10.107 0.998
