2024 06 27 17 56 12.55  06.164  02.719  0000.03  00.70  16.56  386.6  009.26  05.982  1004.768  1423.55 
2024 06 27 17 56 12.80  20.573  04.009  0000.03  21.02  09.63  386.6  009.26  21.128  1016.770  1448.86 
2024 06 27 17 56 13.05  12.649  03.999  0000.03  35.73  13.37  386.6  009.23  12.460  1009.899  1437.74 
2024 06 27 17 56 13.30  28.117  04.185  0000.10  27.87  14.35  386.6  009.26  29.599  1023.476  1460.46 
2024 06 27 17 56 13.55  28.121  04.178  0000.15  17.32  08.37  386.6  009.26  29.610  1023.486  1460.44 
2024 06 27 17 56 13.80  28.128  04.180  0000.18  10.90  08.30  386.3  009.26  29.617  1023.491  1460.46 
2024 06 27 17 56 14.05  28.161  04.178  0000.29  08.29  08.30  386.3  009.26  29.656  1023.523  1460.51 
2024 06 27 17 56 14.30  28.191  04.183  0000.36  08.01  08.30  386.3  009.26  29.686  1023.547  1460.57 
2024 06 27 17 56 14.55  28.204  04.197  0000.41  07.88  08.29  386.3  009.26  29.689  1023.548  1460.63 
2024 06 27 17 56 14.80  28.198  04.195  0000.49  07.87  08.29  386.3  009.26  29.684  1023.544  1460.61 
2024 06 27 17 56 15.05  28.196  04.181  0000.52  07.36  08.28  386.3  009.26  29.694  1023.554  1460.57 
2024 06 27 17 56 15.30  28.202  04.184  0000.58  07.24  08.28  386.3  009.26  29.699  1023.558  1460.59 
2024 06 27 17 56 15.55  28.206  04.166  0000.65  07.53  08.27  386.3  009.26  29.720  1023.576  1460.54 
2024 06 27 17 56 15.80  28.206  04.184  0000.67  07.31  08.29  386.3  009.23  29.703  1023.562  1460.60 
2024 06 27 17 56 16.05  28.200  04.185  0000.67  07.38  08.30  386.3  009.26  29.695  1023.555  1460.59 
2024 06 27 17 56 16.30  28.205  04.181  0000.68  07.44  08.30  386.3  009.26  29.704  1023.563  1460.59 
2024 06 27 17 56 16.55  28.205  04.188  0000.68  07.47  08.29  386.3  009.26  29.698  1023.557  1460.61 
2024 06 27 17 56 16.80  28.205  04.175  0000.68  07.17  08.25  341.7  009.26  29.710  1023.568  1460.57 
2024 06 27 17 56 17.05  28.203  04.158  0000.69  06.97  08.25  341.7  009.26  29.723  1023.580  1460.52 
2024 06 27 17 56 17.30  28.198  04.160  0000.71  06.94  08.25  341.7  009.26  29.716  1023.574  1460.51 
2024 06 27 17 56 17.55  28.207  04.168  0000.75  07.02  08.25  341.7  009.26  29.719  1023.576  1460.55 
2024 06 27 17 56 17.80  28.206  04.149  0000.79  07.79  08.24  341.7  009.26  29.735  1023.591  1460.49 
2024 06 27 17 56 18.05  28.205  04.168  0000.81  08.10  08.24  341.7  009.26  29.716  1023.574  1460.55 
2024 06 27 17 56 18.30  28.210  04.167  0000.80  08.21  08.24  341.7  009.26  29.723  1023.580  1460.55 
2024 06 27 17 56 18.55  28.210  04.167  0000.80  08.14  08.24  341.7  009.26  29.722  1023.579  1460.55 
2024 06 27 17 56 18.80  28.203  04.177  0000.81  07.95  08.26  341.7  009.26  29.706  1023.565  1460.58 
2024 06 27 17 56 19.05  28.206  04.176  0000.81  07.73  08.27  341.7  009.23  29.709  1023.568  1460.58 
2024 06 27 17 56 19.30  28.202  04.174  0000.84  07.40  08.27  341.7  009.26  29.708  1023.567  1460.56 
2024 06 27 17 56 19.55  28.200  04.169  0000.86  07.02  08.27  341.7  009.26  29.709  1023.569  1460.55 
2024 06 27 17 56 19.80  28.215  04.178  0000.91  07.08  08.22  329.7  009.26  29.719  1023.575  1460.60 
2024 06 27 17 56 20.05  28.261  04.257  0001.04  07.41  08.23  329.7  009.26  29.700  1023.554  1460.91 
2024 06 27 17 56 20.30  28.347  04.349  0001.09  07.78  08.23  329.7  009.26  29.717  1023.559  1461.32 
2024 06 27 17 56 20.55  28.352  04.322  0001.13  08.44  08.23  329.7  009.26  29.747  1023.586  1461.24 
2024 06 27 17 56 20.80  28.370  04.342  0001.12  07.89  08.23  329.7  009.26  29.750  1023.586  1461.33 
2024 06 27 17 56 21.05  28.366  04.346  0001.12  07.65  08.22  329.7  009.26  29.742  1023.579  1461.34 
2024 06 27 17 56 21.30  28.351  04.340  0001.11  07.88  08.22  329.7  009.26  29.730  1023.571  1461.29 
2024 06 27 17 56 21.55  28.339  04.316  0001.09  07.33  08.22  329.7  009.26  29.738  1023.579  1461.20 
2024 06 27 17 56 21.80  28.325  04.300  0001.08  07.23  08.31  329.7  009.26  29.736  1023.578  1461.13 
2024 06 27 17 56 22.05  28.320  04.299  0001.08  07.30  08.31  329.7  009.26  29.731  1023.575  1461.12 
2024 06 27 17 56 22.30  28.348  04.310  0001.10  07.45  08.30  329.7  009.23  29.753  1023.591  1461.20 
2024 06 27 17 56 22.55  28.343  04.314  0001.13  07.77  08.30  329.7  009.26  29.743  1023.583  1461.20 
2024 06 27 17 56 22.80  28.366  04.320  0001.12  08.33  08.20  324.6  009.26  29.766  1023.600  1461.26 
2024 06 27 17 56 23.05  28.384  04.371  0001.11  08.24  08.21  324.6  009.26  29.740  1023.575  1461.44 
2024 06 27 17 56 23.30  28.395  04.413  0001.12  07.73  08.21  324.6  009.26  29.714  1023.551  1461.58 
2024 06 27 17 56 23.55  28.394  04.413  0001.13  08.19  08.21  324.6  009.26  29.713  1023.550  1461.58 
