	2024	1	4	09   00	0.40		53.48	4	09   30	0.39	52.65	   	4	10   00	0.38	51.82									
	2024	1	4	10   30	0.38		51.82	4	11   00	0.40	53.48	   	4	11   30	0.38	51.82									
	2024	1	4	12   00	0.37		50.99	4	12   30	0.37	50.99	   	4	13   00	0.40	53.48									
	2024	1	4	13   30	0.37		50.99	4	14   00	0.37	50.99	   	4	14   30	0.38	51.82									
	2024	1	4	15   00	0.38		51.82	4	15   30	0.38	51.82	   	4	16   00	0.37	50.99									
	2024	1	4	16   30	0.39		52.65	4	17   00	0.39	52.65	   	4	17   30	0.40	53.48									
	2024	1	4	18   00	0.36		50.17	4	18   30	0.40	53.48	   	4	19   00	0.40	53.48									
	2024	1	4	19   30	0.39		52.65	4	20   00	0.39	52.65	   	4	20   30	0.41	54.35									
	2024	1	4	21   00	0.40		53.48	4	21   30	0.39	52.65	   	4	22   00	0.40	53.48									
	2024	1	4	22   30	0.40		53.48	4	23   00	0.42	55.21	   	4	23   30	0.39	52.65									
	2024	1	5	00   00	0.40		53.48	5	00   30	0.41	54.35	   	5	01   00	0.41	54.35									
	2024	1	5	01   30	0.39		52.65	5	02   00	0.39	52.65	   	5	02   30	0.41	54.35									
	2024	1	5	03   00	0.40		53.48	5	03   30	0.39	52.65	   	5	04   00	0.38	51.82									
	2024	1	5	04   30	0.41		54.35	5	05   00	0.39	52.65	   	5	05   30	0.40	53.48									
	2024	1	5	06   00	0.39		52.65	5	06   30	0.40	53.48	   	5	07   00	0.40	53.48									
	2024	1	5	07   30	0.39		52.65	5	08   00	0.40	53.48	   	5	08   30	0.40	53.48									
	2024	1	5	09   00	0.41		54.35	5	09   30	0.38	51.82	   	5	10   00	0.40	53.48									
	2024	1	5	10   30	0.40		53.48	5	11   00	0.40	53.48	   	5	11   30	0.39	52.65									
	2024	1	5	12   00	0.39		52.65	5	12   30	0.39	52.65	   	5	13   00	0.39	52.65									
	2024	1	5	13   30	0.38		51.82	5	14   00	0.37	50.99	   	5	14   30	0.39	52.65									
	2024	1	5	15   00	0.38		51.82	5	15   30	0.38	51.82	   	5	16   00	0.37	50.99									
	2024	1	5	16   30	0.39		52.65	5	17   00	0.38	51.82	   	5	17   30	0.38	51.82									
	2024	1	5	18   00	0.38		51.82	5	18   30	0.38	51.82	   	5	19   00	0.39	52.65									
	2024	1	5	19   30	0.38		51.82	5	20   00	0.38	51.82	   	5	20   30	0.39	52.65									
	2024	1	5	21   00	0.39		52.65	5	21   30	0.37	50.99	   	5	22   00	0.39	52.65									
	2024	1	5	22   30	0.38		51.82	5	23   00	0.40	53.48	   	5	23   30	0.37	50.99									
